frame_index,bag_timestamp_ns,map_stamp_ns,component_index,stable_key_x,stable_key_y,exact_columns,area,horizontal_span,representative_x,representative_y,representative_z,unknown_direction_x,unknown_direction_y,unknown_direction_z,information_gain,direction_consistency,direction_votes_pos_x,direction_votes_pos_y,direction_votes_neg_x,direction_votes_neg_y,xy_min_x,xy_min_y,xy_max_x,xy_max_y,rejection,columns_complete,edges_complete
3,1784164312999738429,1784164310186407576,53,16532,16423,1,0.040000003,0.141421556,29.705266953,7.894738674,-0.973684132,-1.000000000,0.000000000,0.000000000,9.000000000,1.000000000,0,0,9,0,29.649999619,7.849999905,29.750000000,7.949999809,Columns,1,1
3,1784164312999738429,1784164310186407576,54,16533,16408,1,0.040000003,0.141421556,29.901453018,4.895590305,-0.713235140,-1.000000000,0.000000000,0.000000000,13.000000000,1.000000000,0,0,13,0,29.850000381,4.849999905,29.950000763,4.949999809,Columns,1,1
3,1784164312999738429,1784164310186407576,55,16533,16421,6,0.240000010,1.029563069,30.141950607,7.122956753,-0.749752283,1.000000000,0.000000000,0.000000000,77.000000000,0.714285731,55,0,22,0,29.850000381,6.650000095,30.350000381,7.550000191,Columns,1,1
3,1784164312999738429,1784164310186407576,56,16534,16361,2,0.080000006,0.316228986,30.199993134,-4.492187023,-0.951562345,1.000000000,0.000000000,0.000000000,11.000000000,1.000000000,11,0,0,0,30.049999237,-4.550000191,30.350000381,-4.449999809,Columns,1,1
3,1784164312999738429,1784164310186407576,57,16534,16405,5,0.200000003,0.860233128,30.358663559,4.155256748,-0.926691830,1.000000000,0.000000000,0.000000000,52.000000000,1.000000000,52,0,0,0,30.049999237,3.849999905,30.750000000,4.349999905,Columns,1,1
3,1784164312999738429,1784164310186407576,58,16534,16426,1,0.040000003,0.141421899,30.102628708,8.492105484,-0.555263102,-1.000000000,0.000000000,0.000000000,5.000000000,1.000000000,0,0,5,0,30.049999237,8.449999809,30.149999619,8.550000191,Columns,1,1
3,1784164312999738429,1784164310186407576,59,16535,16359,3,0.120000005,0.583094776,30.429567337,-5.097309589,-1.343548179,1.000000000,0.000000000,0.000000000,24.000000000,0.708333313,17,0,7,0,30.250000000,-5.349999905,30.549999237,-4.849999905,Columns,1,1
3,1784164312999738429,1784164310186407576,60,16536,16425,1,0.040000003,0.141420543,30.497365952,8.300001144,-1.005263329,-1.000000000,0.000000000,0.000000000,10.000000000,1.000000000,0,0,10,0,30.450000763,8.250000000,30.549999237,8.350000381,Columns,1,1
3,1784164312999738429,1784164310186407576,61,16537,16406,2,0.080000006,0.316228986,30.797718048,4.497706413,-0.716054857,-1.000000000,0.000000000,0.000000000,23.000000000,0.521739125,11,0,12,0,30.649999619,4.449999809,30.950000763,4.550000191,Columns,1,1
3,1784164312999738429,1784164310186407576,62,16537,16423,3,0.120000005,0.424264669,30.827337265,7.956756592,-0.830981493,1.000000000,0.000000000,0.000000000,39.000000000,1.000000000,39,0,0,0,30.649999619,7.849999905,30.950000763,8.149999619,Columns,1,1
3,1784164312999738429,1784164310186407576,63,16538,16418,4,0.160000011,0.707106769,31.046609879,7.094730377,-0.779957831,1.000000000,0.000000000,0.000000000,50.000000000,0.740000010,37,0,13,0,30.850000381,6.849999905,31.350000381,7.349999905,Columns,1,1
3,1784164312999738429,1784164310186407576,64,16539,16403,4,0.160000011,0.761578023,31.212011337,4.228123188,-0.993750036,1.000000000,0.000000000,0.000000000,28.000000000,0.571428597,16,0,12,0,31.049999237,3.849999905,31.350000381,4.550000191,Columns,1,1
3,1784164312999738429,1784164310186407576,65,16540,16408,1,0.040000003,0.141421556,31.302822113,4.904717445,-0.799056888,-1.000000000,0.000000000,0.000000000,10.000000000,1.000000000,0,0,10,0,31.250000000,4.849999905,31.350000381,4.949999809,Columns,1,1
3,1784164312999738429,1784164310186407576,66,16540,16413,4,0.160000011,0.583095312,31.501329422,6.009386539,-1.091517806,-1.000000000,0.000000000,0.000000000,48.000000000,0.583333313,20,0,28,0,31.250000000,5.849999905,31.750000000,6.150000095,Columns,1,1
3,1784164312999738429,1784164310186407576,67,16540,16427,2,0.080000006,0.316227168,31.400682449,8.702054977,-0.908904076,-1.000000000,0.000000000,0.000000000,21.000000000,0.523809552,10,0,11,0,31.250000000,8.649999619,31.549999237,8.750000000,Columns,1,1
3,1784164312999738429,1784164310186407576,68,16541,16379,4,0.160000011,0.424263537,31.590908051,-0.811657131,-1.360880852,1.000000000,0.000000000,0.000000000,28.000000000,0.714285731,20,0,8,0,31.450000763,-0.949999988,31.750000000,-0.649999976,Columns,1,1
3,1784164312999738429,1784164310186407576,69,16541,16382,1,0.040000003,0.141420275,31.503656387,-0.291463464,-0.835365772,-1.000000000,0.000000000,0.000000000,7.000000000,1.000000000,0,0,7,0,31.450000763,-0.349999994,31.549999237,-0.250000000,Columns,1,1
3,1784164312999738429,1784164310186407576,70,16543,16361,1,0.040000003,0.141421899,31.899999619,-4.504545212,-1.509090900,-1.000000000,0.000000000,0.000000000,6.000000000,1.000000000,0,0,6,0,31.850000381,-4.550000191,31.950000763,-4.449999809,Columns,1,1
3,1784164312999738429,1784164310186407576,71,16543,16404,1,0.040000003,0.141421556,31.893333435,4.106667995,-1.143333316,1.000000000,0.000000000,0.000000000,8.000000000,1.000000000,8,0,0,0,31.850000381,4.050000191,31.950000763,4.150000095,Columns,1,1
3,1784164312999738429,1784164310186407576,72,16545,16383,3,0.120000005,0.583095193,32.523895264,-0.254347950,-1.098913193,-1.000000000,0.000000000,0.000000000,16.000000000,0.687500000,5,0,11,0,32.250000000,-0.349999994,32.750000000,-0.050000001,Columns,1,1
3,1784164312999738429,1784164310186407576,73,16545,16409,1,0.040000003,0.141420215,32.299049377,5.114149570,-0.995282888,-1.000000000,0.000000000,0.000000000,11.000000000,1.000000000,0,0,11,0,32.250000000,5.050000191,32.349998474,5.150000095,Columns,1,1
3,1784164312999738429,1784164310186407576,74,16545,16413,1,0.040000003,0.141420215,32.303325653,5.891669273,-1.213333130,1.000000000,0.000000000,0.000000000,10.000000000,1.000000000,10,0,0,0,32.250000000,5.849999905,32.349998474,5.949999809,Columns,1,1
3,1784164312999738429,1784164310186407576,75,16545,16428,2,0.080000006,0.424263000,32.401515961,9.001513481,-1.166666508,-1.000000000,0.000000000,0.000000000,14.000000000,1.000000000,0,0,14,0,32.250000000,8.850000381,32.549999237,9.149999619,Columns,1,1
3,1784164312999738429,1784164310186407576,76,16547,16360,1,0.040000003,0.141420215,32.705554962,-4.705555916,-1.861111283,-1.000000000,0.000000000,0.000000000,5.000000000,1.000000000,0,0,5,0,32.650001526,-4.750000000,32.750000000,-4.650000095,Columns,1,1
3,1784164312999738429,1784164310186407576,77,16547,16410,1,0.040000003,0.141420215,32.706256866,5.283334255,-1.181249738,-1.000000000,0.000000000,0.000000000,10.000000000,1.000000000,0,0,10,0,32.650001526,5.250000000,32.750000000,5.349999905,Columns,1,1
3,1784164312999738429,1784164310186407576,78,16547,16415,2,0.080000006,0.424263656,32.800491333,6.399515629,-1.356796861,-1.000000000,0.000000000,0.000000000,23.000000000,1.000000000,0,0,23,0,32.650001526,6.250000000,32.950000763,6.550000191,Columns,1,1
3,1784164312999738429,1784164310186407576,79,16548,16362,7,0.280000001,1.140175819,33.225257874,-3.895485878,-1.691136718,1.000000000,0.000000000,0.000000000,54.000000000,0.592592597,32,0,22,0,32.849998474,-4.349999905,33.549999237,-3.450000048,Columns,1,1
3,1784164312999738429,1784164310186407576,80,16549,16379,1,0.040000003,0.141422942,33.101432800,-0.910000324,-1.838571191,1.000000000,0.000000000,0.000000000,6.000000000,1.000000000,6,0,0,0,33.049999237,-0.949999988,33.150001526,-0.850000024,Columns,1,1
3,1784164312999738429,1784164310186407576,81,16549,16409,3,0.120000005,0.424263328,33.228073120,5.163003445,-1.060569406,-1.000000000,0.000000000,0.000000000,23.000000000,0.695652187,7,0,16,0,33.049999237,5.050000191,33.349998474,5.349999905,Columns,1,1
3,1784164312999738429,1784164310186407576,82,16549,16418,1,0.040000003,0.141422912,33.105949402,6.900850773,-1.504236341,1.000000000,0.000000000,0.000000000,11.000000000,1.000000000,11,0,0,0,33.049999237,6.849999905,33.150001526,6.949999809,Columns,1,1
3,1784164312999738429,1784164310186407576,83,16549,16431,1,0.040000003,0.141423240,33.105552673,9.488888741,-1.200000286,-1.000000000,0.000000000,0.000000000,6.000000000,1.000000000,0,0,6,0,33.049999237,9.449999809,33.150001526,9.550000191,Columns,1,1
3,1784164312999738429,1784164310186407576,84,16550,16375,5,0.200000003,0.583094776,33.374721527,-1.464343905,-1.559960365,1.000000000,0.000000000,0.000000000,28.000000000,0.821428597,23,0,5,0,33.250000000,-1.750000000,33.549999237,-1.250000000,Columns,1,1
3,1784164312999738429,1784164310186407576,85,16550,16414,2,0.080000006,0.424263328,33.393527985,6.190000057,-1.659411669,-1.000000000,0.000000000,0.000000000,18.000000000,1.000000000,0,0,18,0,33.250000000,6.050000191,33.549999237,6.349999905,Columns,1,1
3,1784164312999738429,1784164310186407576,86,16551,16368,15,0.600000024,1.702937961,33.922397614,-3.149577618,-1.677910566,1.000000000,0.000000000,0.000000000,116.000000000,0.750000000,87,0,29,0,33.450000763,-3.750000000,34.750000000,-2.650000095,None,1,1
3,1784164312999738429,1784164310186407576,87,16551,16381,10,0.400000006,1.702937603,33.950851440,-1.115838647,-1.939256549,1.000000000,0.000000000,0.000000000,65.000000000,0.569230795,37,0,28,0,33.450000763,-1.750000000,34.549999237,-0.449999988,Columns,1,1
3,1784164312999738429,1784164310186407576,88,16552,16431,2,0.080000006,0.316227168,33.792842865,9.500000000,-1.432142615,-1.000000000,0.000000000,0.000000000,13.000000000,1.000000000,0,0,13,0,33.650001526,9.449999809,33.950000763,9.550000191,Columns,1,1
3,1784164312999738429,1784164310186407576,89,16553,16362,2,0.080000006,0.316230625,34.000011444,-4.296971321,-2.239394426,-1.000000000,0.000000000,0.000000000,13.000000000,0.538461566,6,0,7,0,33.849998474,-4.349999905,34.150001526,-4.250000000,Columns,1,1
3,1784164312999738429,1784164310186407576,90,16554,16420,2,0.080000006,0.424263328,34.189609528,7.208333969,-1.838541031,-1.000000000,0.000000000,0.000000000,20.000000000,1.000000000,0,0,20,0,34.049999237,7.050000191,34.349998474,7.349999905,Columns,1,1
3,1784164312999738429,1784164310186407576,91,16555,16364,6,0.240000010,1.140176535,34.648239136,-4.024559021,-1.795176506,-1.000000000,0.000000000,0.000000000,44.000000000,0.590909064,18,0,26,0,34.250000000,-4.349999905,35.150001526,-3.650000095,Columns,1,1
3,1784164312999738429,1784164310186407576,92,16555,16380,1,0.040000003,0.141420290,34.303565979,-0.710714221,-1.892856956,1.000000000,0.000000000,0.000000000,5.000000000,1.000000000,5,0,0,0,34.250000000,-0.750000000,34.349998474,-0.649999976,Columns,1,1
3,1784164312999738429,1784164310186407576,93,16555,16410,2,0.080000006,0.424263656,34.391662598,5.395833492,-1.362499833,1.000000000,0.000000000,0.000000000,11.000000000,1.000000000,11,0,0,0,34.250000000,5.250000000,34.549999237,5.550000191,Columns,1,1
3,1784164312999738429,1784164310186407576,94,16556,16373,6,0.240000010,1.029562831,34.764282227,-1.906897545,-1.717673063,1.000000000,0.000000000,0.000000000,45.000000000,1.000000000,45,0,0,0,34.450000763,-2.349999905,34.950000763,-1.450000048,Columns,1,1
3,1784164312999738429,1784164310186407576,95,16558,16359,1,0.040000003,0.141422912,34.907894135,-4.913156986,-2.218420982,-1.000000000,0.000000000,0.000000000,6.000000000,1.000000000,0,0,6,0,34.849998474,-4.949999809,34.950000763,-4.849999905,Columns,1,1
3,1784164312999738429,1784164310186407576,96,16558,16370,3,0.120000005,0.583096743,35.018955231,-2.517242670,-2.106034517,1.000000000,0.000000000,0.000000000,21.000000000,0.761904776,16,0,5,0,34.849998474,-2.750000000,35.150001526,-2.250000000,Columns,1,1
3,1784164312999738429,1784164310186407576,97,16558,16431,1,0.040000003,0.141423240,34.888893127,9.494443893,-1.772222400,1.000000000,0.000000000,0.000000000,7.000000000,1.000000000,7,0,0,0,34.849998474,9.449999809,34.950000763,9.550000191,Columns,1,1
3,1784164312999738429,1784164310186407576,98,16560,16361,1,0.040000003,0.141420543,35.291927338,-4.491934776,-2.140322447,1.000000000,0.000000000,0.000000000,7.000000000,1.000000000,7,0,0,0,35.250000000,-4.550000191,35.349998474,-4.449999809,Columns,1,1
3,1784164312999738429,1784164310186407576,99,16560,16366,4,0.160000011,0.761577964,35.594455719,-3.618146420,-1.813703418,-1.000000000,0.000000000,0.000000000,29.000000000,0.689655185,9,0,20,0,35.250000000,-3.750000000,35.950000763,-3.450000048,Columns,1,1
3,1784164312999738429,1784164310186407576,100,16561,16363,2,0.080000006,0.424263328,35.597141266,-4.197144508,-1.792856693,1.000000000,0.000000000,0.000000000,18.000000000,1.000000000,18,0,0,0,35.450000763,-4.349999905,35.750000000,-4.050000191,Columns,1,1
3,1784164312999738429,1784164310186407576,101,16561,16372,1,0.040000003,0.141420215,35.494445801,-2.302777529,-1.927777648,1.000000000,0.000000000,0.000000000,6.000000000,1.000000000,6,0,0,0,35.450000763,-2.349999905,35.549999237,-2.250000000,Columns,1,1
3,1784164312999738429,1784164310186407576,102,16561,16419,2,0.080000006,0.316227019,35.594448090,7.099202633,-1.916665912,1.000000000,0.000000000,0.000000000,19.000000000,1.000000000,19,0,0,0,35.450000763,7.050000191,35.750000000,7.150000095,Columns,1,1
3,1784164312999738429,1784164310186407576,103,16562,16369,1,0.040000003,0.141420379,35.695953369,-2.887836695,-2.233782768,-1.000000000,0.000000000,0.000000000,6.000000000,1.000000000,0,0,6,0,35.650001526,-2.950000048,35.750000000,-2.849999905,Columns,1,1
3,1784164312999738429,1784164310186407576,104,16562,16377,1,0.040000003,0.141420290,35.694999695,-1.280000091,-2.490000248,1.000000000,0.000000000,0.000000000,6.000000000,1.000000000,6,0,0,0,35.650001526,-1.350000024,35.750000000,-1.250000000,Columns,1,1
3,1784164312999738429,1784164310186407576,105,16563,16372,1,0.040000003,0.141422912,35.896869659,-2.293749809,-1.559375167,-1.000000000,0.000000000,0.000000000,8.000000000,1.000000000,0,0,8,0,35.849998474,-2.349999905,35.950000763,-2.250000000,Columns,1,1
3,1784164312999738429,1784164310186407576,106,16565,16368,2,0.080000006,0.316227466,36.299991608,-2.999999762,-2.574073792,1.000000000,0.000000000,0.000000000,12.000000000,1.000000000,12,0,0,0,36.250000000,-3.150000095,36.349998474,-2.849999905,Columns,1,1
3,1784164312999738429,1784164310186407576,107,16568,16373,1,0.040000003,0.141423076,36.896671295,-2.123332977,-2.016666889,1.000000000,0.000000000,0.000000000,5.000000000,1.000000000,5,0,0,0,36.849998474,-2.150000095,36.950000763,-2.049999952,Columns,1,1
